64x64 , 4096 , ['ldr'] , ['asm'  '-j'  '1'] , 871232
128x128 , 16384 , ['ldr'] , ['asm'  '-j'  '1'] , 2666609
256x256 , 65536 , ['ldr'] , ['asm'  '-j'  '1'] , 11020903
512x512 , 262144 , ['ldr'] , ['asm'  '-j'  '1'] , 44877072
1024x1024 , 1048576 , ['ldr'] , ['asm'  '-j'  '1'] , 180804231
2048x2048 , 4194304 , ['ldr'] , ['asm'  '-j'  '1'] , 726221015
4096x4096 , 16777216 , ['ldr'] , ['asm'  '-j'  '1'] , 2911205179
8192x8192 , 67108864 , ['ldr'] , ['asm'  '-j'  '1'] , 11669267925
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '2'] , 4192
32x16 , 512 , ['ldr'] , ['asm'  '-j'  '2'] , 18500
64x16 , 1024 , ['ldr'] , ['asm'  '-j'  '2'] , 49922
128x16 , 2048 , ['ldr'] , ['asm'  '-j'  '2'] , 56464
256x16 , 4096 , ['ldr'] , ['asm'  '-j'  '2'] , 76791
512x16 , 8192 , ['ldr'] , ['asm'  '-j'  '2'] , 127943
1024x16 , 16384 , ['ldr'] , ['asm'  '-j'  '2'] , 232644
2048x16 , 32768 , ['ldr'] , ['asm'  '-j'  '2'] , 506923
4096x16 , 65536 , ['ldr'] , ['asm'  '-j'  '2'] , 1016370
8192x16 , 131072 , ['ldr'] , ['asm'  '-j'  '2'] , 1908025
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '2'] , 4192
16x32 , 512 , ['ldr'] , ['asm'  '-j'  '2'] , 9738
16x64 , 1024 , ['ldr'] , ['asm'  '-j'  '2'] , 20827
16x128 , 2048 , ['ldr'] , ['asm'  '-j'  '2'] , 71690
16x256 , 4096 , ['ldr'] , ['asm'  '-j'  '2'] , 72859
16x512 , 8192 , ['ldr'] , ['asm'  '-j'  '2'] , 145315
16x1024 , 16384 , ['ldr'] , ['asm'  '-j'  '2'] , 291482
16x2048 , 32768 , ['ldr'] , ['asm'  '-j'  '2'] , 583586
16x4096 , 65536 , ['ldr'] , ['asm'  '-j'  '2'] , 1096741
16x8192 , 131072 , ['ldr'] , ['asm'  '-j'  '2'] , 2188456
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '2'] , 4192
32x32 , 1024 , ['ldr'] , ['asm'  '-j'  '2'] , 21539
64x64 , 4096 , ['ldr'] , ['asm'  '-j'  '2'] , 97940
128x128 , 16384 , ['ldr'] , ['asm'  '-j'  '2'] , 295379
256x256 , 65536 , ['ldr'] , ['asm'  '-j'  '2'] , 1211059
512x512 , 262144 , ['ldr'] , ['asm'  '-j'  '2'] , 4903579
1024x1024 , 1048576 , ['ldr'] , ['asm'  '-j'  '2'] , 20107512
2048x2048 , 4194304 , ['ldr'] , ['asm'  '-j'  '2'] , 82531897
4096x4096 , 16777216 , ['ldr'] , ['asm'  '-j'  '2'] , 330825744
8192x8192 , 67108864 , ['ldr'] , ['asm'  '-j'  '2'] , 1324934703
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '3'] , 2206
32x16 , 512 , ['ldr'] , ['asm'  '-j'  '3'] , 9018
64x16 , 1024 , ['ldr'] , ['asm'  '-j'  '3'] , 17132
128x16 , 2048 , ['ldr'] , ['asm'  '-j'  '3'] , 26800
256x16 , 4096 , ['ldr'] , ['asm'  '-j'  '3'] , 42604
512x16 , 8192 , ['ldr'] , ['asm'  '-j'  '3'] , 71359
1024x16 , 16384 , ['ldr'] , ['asm'  '-j'  '3'] , 137747
2048x16 , 32768 , ['ldr'] , ['asm'  '-j'  '3'] , 324224
4096x16 , 65536 , ['ldr'] , ['asm'  '-j'  '3'] , 652121
8192x16 , 131072 , ['ldr'] , ['asm'  '-j'  '3'] , 1304419
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '3'] , 2206
16x32 , 512 , ['ldr'] , ['asm'  '-j'  '3'] , 4353
16x64 , 1024 , ['ldr'] , ['asm'  '-j'  '3'] , 9044
16x128 , 2048 , ['ldr'] , ['asm'  '-j'  '3'] , 29845
16x256 , 4096 , ['ldr'] , ['asm'  '-j'  '3'] , 35694
16x512 , 8192 , ['ldr'] , ['asm'  '-j'  '3'] , 71512
16x1024 , 16384 , ['ldr'] , ['asm'  '-j'  '3'] , 136294
16x2048 , 32768 , ['ldr'] , ['asm'  '-j'  '3'] , 270979
16x4096 , 65536 , ['ldr'] , ['asm'  '-j'  '3'] , 509394
16x8192 , 131072 , ['ldr'] , ['asm'  '-j'  '3'] , 1018706
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '3'] , 2206
32x32 , 1024 , ['ldr'] , ['asm'  '-j'  '3'] , 9559
64x64 , 4096 , ['ldr'] , ['asm'  '-j'  '3'] , 47884
128x128 , 16384 , ['ldr'] , ['asm'  '-j'  '3'] , 150034
256x256 , 65536 , ['ldr'] , ['asm'  '-j'  '3'] , 618850
512x512 , 262144 , ['ldr'] , ['asm'  '-j'  '3'] , 2524719
1024x1024 , 1048576 , ['ldr'] , ['asm'  '-j'  '3'] , 10874153
2048x2048 , 4194304 , ['ldr'] , ['asm'  '-j'  '3'] , 48014528
4096x4096 , 16777216 , ['ldr'] , ['asm'  '-j'  '3'] , 192360944
8192x8192 , 67108864 , ['ldr'] , ['asm'  '-j'  '3'] , 793261116
