64x16 ,1024, ['ldr'] , ['c'  '-j'  '2'] ,95246
128x16 ,2048, ['ldr'] , ['c'  '-j'  '2'] ,198214
256x16 ,4096, ['ldr'] , ['c'  '-j'  '2'] ,180159
512x16 ,8192, ['ldr'] , ['c'  '-j'  '2'] ,350103
1024x16 ,16384, ['ldr'] , ['c'  '-j'  '2'] ,703278
2048x16 ,32768, ['ldr'] , ['c'  '-j'  '2'] ,1406001
4096x16 ,65536, ['ldr'] , ['c'  '-j'  '2'] ,3039798
8192x16 ,131072, ['ldr'] , ['c'  '-j'  '2'] ,5999253
16x16 ,256, ['ldr'] , ['c'  '-j'  '2'] ,20592
16x32 ,512, ['ldr'] , ['c'  '-j'  '2'] ,45589
16x64 ,1024, ['ldr'] , ['c'  '-j'  '2'] ,95148
16x128 ,2048, ['ldr'] , ['c'  '-j'  '2'] ,194378
16x256 ,4096, ['ldr'] , ['c'  '-j'  '2'] ,169395
16x512 ,8192, ['ldr'] , ['c'  '-j'  '2'] ,465780
16x1024 ,16384, ['ldr'] , ['c'  '-j'  '2'] ,683610
16x2048 ,32768, ['ldr'] , ['c'  '-j'  '2'] ,1366713
16x4096 ,65536, ['ldr'] , ['c'  '-j'  '2'] ,2734038
16x8192 ,131072, ['ldr'] , ['c'  '-j'  '2'] ,5455497
16x16 ,256, ['ldr'] , ['c'  '-j'  '2'] ,20592
32x32 ,1024, ['ldr'] , ['c'  '-j'  '2'] ,99330
64x64 ,4096, ['ldr'] , ['c'  '-j'  '2'] ,192210
128x128 ,16384, ['ldr'] , ['c'  '-j'  '2'] ,828342
256x256 ,65536, ['ldr'] , ['c'  '-j'  '2'] ,3442725
512x512 ,262144, ['ldr'] , ['c'  '-j'  '2'] ,13985595
1024x1024 ,1048576, ['ldr'] , ['c'  '-j'  '2'] ,68787042
2048x2048 ,4194304, ['ldr'] , ['c'  '-j'  '2'] ,249922443
4096x4096 ,16777216, ['ldr'] , ['c'  '-j'  '2'] ,981156915
8192x8192 ,67108864, ['ldr'] , ['c'  '-j'  '2'] ,3786479259
16x16 ,256, ['ldr'] , ['asm'  '-j'  '1'] ,63764
32x16 ,512, ['ldr'] , ['asm'  '-j'  '1'] ,148722
64x16 ,1024, ['ldr'] , ['asm'  '-j'  '1'] ,241902
128x16 ,2048, ['ldr'] , ['asm'  '-j'  '1'] ,360572
256x16 ,4096, ['ldr'] , ['asm'  '-j'  '1'] ,573573
512x16 ,8192, ['ldr'] , ['asm'  '-j'  '1'] ,1155324
1024x16 ,16384, ['ldr'] , ['asm'  '-j'  '1'] ,2317080
2048x16 ,32768, ['ldr'] , ['asm'  '-j'  '1'] ,4620441
4096x16 ,65536, ['ldr'] , ['asm'  '-j'  '1'] ,9247149
8192x16 ,131072, ['ldr'] , ['asm'  '-j'  '1'] ,18511149
16x16 ,256, ['ldr'] , ['asm'  '-j'  '1'] ,63764
16x32 ,512, ['ldr'] , ['asm'  '-j'  '1'] ,125016
16x64 ,1024, ['ldr'] , ['asm'  '-j'  '1'] ,137838
16x128 ,2048, ['ldr'] , ['asm'  '-j'  '1'] ,284589
16x256 ,4096, ['ldr'] , ['asm'  '-j'  '1'] ,578433
16x512 ,8192, ['ldr'] , ['asm'  '-j'  '1'] ,1164696
16x1024 ,16384, ['ldr'] , ['asm'  '-j'  '1'] ,2336388
16x2048 ,32768, ['ldr'] , ['asm'  '-j'  '1'] ,4684551
16x4096 ,65536, ['ldr'] , ['asm'  '-j'  '1'] ,9377934
16x8192 ,131072, ['ldr'] , ['asm'  '-j'  '1'] ,18766476
16x16 ,256, ['ldr'] , ['asm'  '-j'  '1'] ,63764
32x32 ,1024, ['ldr'] , ['asm'  '-j'  '1'] ,222066
64x64 ,4096, ['ldr'] , ['asm'  '-j'  '1'] ,689205
128x128 ,16384, ['ldr'] , ['asm'  '-j'  '1'] ,2933370
256x256 ,65536, ['ldr'] , ['asm'  '-j'  '1'] ,12126618
512x512 ,262144, ['ldr'] , ['asm'  '-j'  '1'] ,49007649
1024x1024 ,1048576, ['ldr'] , ['asm'  '-j'  '1'] ,196984257
