1024x16 , 16384 , ['sepia'] , ['asm'  '-j'  '1'] , 138786
2048x16 , 32768 , ['sepia'] , ['asm'  '-j'  '1'] , 225319
4096x16 , 65536 , ['sepia'] , ['asm'  '-j'  '1'] , 555065
8192x16 , 131072 , ['sepia'] , ['asm'  '-j'  '1'] , 663025
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '1'] , 2443
16x32 , 512 , ['sepia'] , ['asm'  '-j'  '1'] , 3950
16x64 , 1024 , ['sepia'] , ['asm'  '-j'  '1'] , 8388
16x128 , 2048 , ['sepia'] , ['asm'  '-j'  '1'] , 18971
16x256 , 4096 , ['sepia'] , ['asm'  '-j'  '1'] , 57375
16x512 , 8192 , ['sepia'] , ['asm'  '-j'  '1'] , 76459
16x1024 , 16384 , ['sepia'] , ['asm'  '-j'  '1'] , 228388
16x2048 , 32768 , ['sepia'] , ['asm'  '-j'  '1'] , 283035
16x4096 , 65536 , ['sepia'] , ['asm'  '-j'  '1'] , 433435
16x8192 , 131072 , ['sepia'] , ['asm'  '-j'  '1'] , 1052314
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '1'] , 2443
32x32 , 1024 , ['sepia'] , ['asm'  '-j'  '1'] , 7345
64x64 , 4096 , ['sepia'] , ['asm'  '-j'  '1'] , 37659
128x128 , 16384 , ['sepia'] , ['asm'  '-j'  '1'] , 163873
256x256 , 65536 , ['sepia'] , ['asm'  '-j'  '1'] , 481246
512x512 , 262144 , ['sepia'] , ['asm'  '-j'  '1'] , 1612725
1024x1024 , 1048576 , ['sepia'] , ['asm'  '-j'  '1'] , 4706612
2048x2048 , 4194304 , ['sepia'] , ['asm'  '-j'  '1'] , 16638861
4096x4096 , 16777216 , ['sepia'] , ['asm'  '-j'  '1'] , 66086447
8192x8192 , 67108864 , ['sepia'] , ['asm'  '-j'  '1'] , 265686325
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '2'] , 1757
32x16 , 512 , ['sepia'] , ['asm'  '-j'  '2'] , 2146
64x16 , 1024 , ['sepia'] , ['asm'  '-j'  '2'] , 4900
128x16 , 2048 , ['sepia'] , ['asm'  '-j'  '2'] , 18500
256x16 , 4096 , ['sepia'] , ['asm'  '-j'  '2'] , 22900
512x16 , 8192 , ['sepia'] , ['asm'  '-j'  '2'] , 35790
1024x16 , 16384 , ['sepia'] , ['asm'  '-j'  '2'] , 98572
2048x16 , 32768 , ['sepia'] , ['asm'  '-j'  '2'] , 122076
4096x16 , 65536 , ['sepia'] , ['asm'  '-j'  '2'] , 432028
8192x16 , 131072 , ['sepia'] , ['asm'  '-j'  '2'] , 488932
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '2'] , 1757
16x32 , 512 , ['sepia'] , ['asm'  '-j'  '2'] , 2785
16x64 , 1024 , ['sepia'] , ['asm'  '-j'  '2'] , 5838
16x128 , 2048 , ['sepia'] , ['asm'  '-j'  '2'] , 13329
16x256 , 4096 , ['sepia'] , ['asm'  '-j'  '2'] , 40163
16x512 , 8192 , ['sepia'] , ['asm'  '-j'  '2'] , 58245
16x1024 , 16384 , ['sepia'] , ['asm'  '-j'  '2'] , 75315
16x2048 , 32768 , ['sepia'] , ['asm'  '-j'  '2'] , 197451
16x4096 , 65536 , ['sepia'] , ['asm'  '-j'  '2'] , 285660
16x8192 , 131072 , ['sepia'] , ['asm'  '-j'  '2'] , 685066
16x16 , 256 , ['sepia'] , ['asm'  '-j'  '2'] , 1757
32x32 , 1024 , ['sepia'] , ['asm'  '-j'  '2'] , 5215
64x64 , 4096 , ['sepia'] , ['asm'  '-j'  '2'] , 26666
128x128 , 16384 , ['sepia'] , ['asm'  '-j'  '2'] , 106475
256x256 , 65536 , ['sepia'] , ['asm'  '-j'  '2'] , 244796
512x512 , 262144 , ['sepia'] , ['asm'  '-j'  '2'] , 1070250
1024x1024 , 1048576 , ['sepia'] , ['asm'  '-j'  '2'] , 3835750
2048x2048 , 4194304 , ['sepia'] , ['asm'  '-j'  '2'] , 14651046
4096x4096 , 16777216 , ['sepia'] , ['asm'  '-j'  '2'] , 58669384
8192x8192 , 67108864 , ['sepia'] , ['asm'  '-j'  '2'] , 236680441
16x16 , 256 , ['ldr'] , ['c'  '-j'  '1'] , 21365
32x16 , 512 , ['ldr'] , ['c'  '-j'  '1'] , 46418
64x16 , 1024 , ['ldr'] , ['c'  '-j'  '1'] , 78020
128x16 , 2048 , ['ldr'] , ['c'  '-j'  '1'] , 276273
256x16 , 4096 , ['ldr'] , ['c'  '-j'  '1'] , 408400
512x16 , 8192 , ['ldr'] , ['c'  '-j'  '1'] , 688515
1024x16 , 16384 , ['ldr'] , ['c'  '-j'  '1'] , 1778886
2048x16 , 32768 , ['ldr'] , ['c'  '-j'  '1'] , 2342088
4096x16 , 65536 , ['ldr'] , ['c'  '-j'  '1'] , 6460038
8192x16 , 131072 , ['ldr'] , ['c'  '-j'  '1'] , 8621334
16x16 , 256 , ['ldr'] , ['c'  '-j'  '1'] , 21365
16x32 , 512 , ['ldr'] , ['c'  '-j'  '1'] , 23233
16x64 , 1024 , ['ldr'] , ['c'  '-j'  '1'] , 92750
16x128 , 2048 , ['ldr'] , ['c'  '-j'  '1'] , 218307
16x256 , 4096 , ['ldr'] , ['c'  '-j'  '1'] , 314085
16x512 , 8192 , ['ldr'] , ['c'  '-j'  '1'] , 1043808
16x1024 , 16384 , ['ldr'] , ['c'  '-j'  '1'] , 1570775
16x2048 , 32768 , ['ldr'] , ['c'  '-j'  '1'] , 3355112
16x4096 , 65536 , ['ldr'] , ['c'  '-j'  '1'] , 5071075
16x8192 , 131072 , ['ldr'] , ['c'  '-j'  '1'] , 10326000
16x16 , 256 , ['ldr'] , ['c'  '-j'  '1'] , 21365
32x32 , 1024 , ['ldr'] , ['c'  '-j'  '1'] , 90535
64x64 , 4096 , ['ldr'] , ['c'  '-j'  '1'] , 620925
