2048x16 , 32768 , ['ldr'] , ['asm'  '-j'  '1'] , 6838913
4096x16 , 65536 , ['ldr'] , ['asm'  '-j'  '1'] , 13684513
8192x16 , 131072 , ['ldr'] , ['asm'  '-j'  '1'] , 27544089
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '1'] , 41837
16x32 , 512 , ['ldr'] , ['asm'  '-j'  '1'] , 94335
16x64 , 1024 , ['ldr'] , ['asm'  '-j'  '1'] , 209923
16x128 , 2048 , ['ldr'] , ['asm'  '-j'  '1'] , 434178
16x256 , 4096 , ['ldr'] , ['asm'  '-j'  '1'] , 850892
16x512 , 8192 , ['ldr'] , ['asm'  '-j'  '1'] , 1787760
16x1024 , 16384 , ['ldr'] , ['asm'  '-j'  '1'] , 3443467
16x2048 , 32768 , ['ldr'] , ['asm'  '-j'  '1'] , 7035828
16x4096 , 65536 , ['ldr'] , ['asm'  '-j'  '1'] , 14127523
16x8192 , 131072 , ['ldr'] , ['asm'  '-j'  '1'] , 27896379
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '1'] , 41837
32x32 , 1024 , ['ldr'] , ['asm'  '-j'  '1'] , 220346
64x64 , 4096 , ['ldr'] , ['asm'  '-j'  '1'] , 1012604
128x128 , 16384 , ['ldr'] , ['asm'  '-j'  '1'] , 4327040
256x256 , 65536 , ['ldr'] , ['asm'  '-j'  '1'] , 17827893
512x512 , 262144 , ['ldr'] , ['asm'  '-j'  '1'] , 75304237
1024x1024 , 1048576 , ['ldr'] , ['asm'  '-j'  '1'] , 302177553
2048x2048 , 4194304 , ['ldr'] , ['asm'  '-j'  '1'] , 1203940071
4096x4096 , 16777216 , ['ldr'] , ['asm'  '-j'  '1'] , 4798573513
8192x8192 , 67108864 , ['ldr'] , ['asm'  '-j'  '1'] , 19847469387
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '2'] , 5642
32x16 , 512 , ['ldr'] , ['asm'  '-j'  '2'] , 13046
64x16 , 1024 , ['ldr'] , ['asm'  '-j'  '2'] , 27976
128x16 , 2048 , ['ldr'] , ['asm'  '-j'  '2'] , 57716
256x16 , 4096 , ['ldr'] , ['asm'  '-j'  '2'] , 117221
512x16 , 8192 , ['ldr'] , ['asm'  '-j'  '2'] , 236883
1024x16 , 16384 , ['ldr'] , ['asm'  '-j'  '2'] , 475493
2048x16 , 32768 , ['ldr'] , ['asm'  '-j'  '2'] , 1005363
4096x16 , 65536 , ['ldr'] , ['asm'  '-j'  '2'] , 2014771
8192x16 , 131072 , ['ldr'] , ['asm'  '-j'  '2'] , 4043440
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '2'] , 5642
16x32 , 512 , ['ldr'] , ['asm'  '-j'  '2'] , 13067
16x64 , 1024 , ['ldr'] , ['asm'  '-j'  '2'] , 28021
16x128 , 2048 , ['ldr'] , ['asm'  '-j'  '2'] , 57825
16x256 , 4096 , ['ldr'] , ['asm'  '-j'  '2'] , 117754
16x512 , 8192 , ['ldr'] , ['asm'  '-j'  '2'] , 237381
16x1024 , 16384 , ['ldr'] , ['asm'  '-j'  '2'] , 476545
16x2048 , 32768 , ['ldr'] , ['asm'  '-j'  '2'] , 955950
16x4096 , 65536 , ['ldr'] , ['asm'  '-j'  '2'] , 1914513
16x8192 , 131072 , ['ldr'] , ['asm'  '-j'  '2'] , 3828477
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '2'] , 5642
32x32 , 1024 , ['ldr'] , ['asm'  '-j'  '2'] , 30368
64x64 , 4096 , ['ldr'] , ['asm'  '-j'  '2'] , 139639
128x128 , 16384 , ['ldr'] , ['asm'  '-j'  '2'] , 596759
256x256 , 65536 , ['ldr'] , ['asm'  '-j'  '2'] , 2467194
512x512 , 262144 , ['ldr'] , ['asm'  '-j'  '2'] , 10515229
1024x1024 , 1048576 , ['ldr'] , ['asm'  '-j'  '2'] , 43138181
2048x2048 , 4194304 , ['ldr'] , ['asm'  '-j'  '2'] , 173623754
4096x4096 , 16777216 , ['ldr'] , ['asm'  '-j'  '2'] , 696475375
8192x8192 , 67108864 , ['ldr'] , ['asm'  '-j'  '2'] , 2872371408
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '3'] , 3499
32x16 , 512 , ['ldr'] , ['asm'  '-j'  '3'] , 7419
64x16 , 1024 , ['ldr'] , ['asm'  '-j'  '3'] , 15096
128x16 , 2048 , ['ldr'] , ['asm'  '-j'  '3'] , 30462
256x16 , 4096 , ['ldr'] , ['asm'  '-j'  '3'] , 62575
512x16 , 8192 , ['ldr'] , ['asm'  '-j'  '3'] , 129247
1024x16 , 16384 , ['ldr'] , ['asm'  '-j'  '3'] , 269481
2048x16 , 32768 , ['ldr'] , ['asm'  '-j'  '3'] , 574833
4096x16 , 65536 , ['ldr'] , ['asm'  '-j'  '3'] , 1161037
8192x16 , 131072 , ['ldr'] , ['asm'  '-j'  '3'] , 2358667
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '3'] , 3499
16x32 , 512 , ['ldr'] , ['asm'  '-j'  '3'] , 7304
16x64 , 1024 , ['ldr'] , ['asm'  '-j'  '3'] , 14699
16x128 , 2048 , ['ldr'] , ['asm'  '-j'  '3'] , 29751
16x256 , 4096 , ['ldr'] , ['asm'  '-j'  '3'] , 59718
16x512 , 8192 , ['ldr'] , ['asm'  '-j'  '3'] , 119550
16x1024 , 16384 , ['ldr'] , ['asm'  '-j'  '3'] , 239256
16x2048 , 32768 , ['ldr'] , ['asm'  '-j'  '3'] , 478429
16x4096 , 65536 , ['ldr'] , ['asm'  '-j'  '3'] , 958385
16x8192 , 131072 , ['ldr'] , ['asm'  '-j'  '3'] , 1916074
16x16 , 256 , ['ldr'] , ['asm'  '-j'  '3'] , 3499
32x32 , 1024 , ['ldr'] , ['asm'  '-j'  '3'] , 15757
64x64 , 4096 , ['ldr'] , ['asm'  '-j'  '3'] , 67825
128x128 , 16384 , ['ldr'] , ['asm'  '-j'  '3'] , 282062
256x256 , 65536 , ['ldr'] , ['asm'  '-j'  '3'] , 1178771
512x512 , 262144 , ['ldr'] , ['asm'  '-j'  '3'] , 4967840
1024x1024 , 1048576 , ['ldr'] , ['asm'  '-j'  '3'] , 21086892
2048x2048 , 4194304 , ['ldr'] , ['asm'  '-j'  '3'] , 91743443
4096x4096 , 16777216 , ['ldr'] , ['asm'  '-j'  '3'] , 368818460
8192x8192 , 67108864 , ['ldr'] , ['asm'  '-j'  '3'] , 1621726968
